code,title,size,image_url,torrent_url,tags,actresses,date,page_url
AARM352,オナニーするのに実用的！エグい体位でパコられてるヌルヌルま○こをドアップでタップリ味わえるエロビ Ver.5,3.9 GB,https://pics.dmm.co.jp/mono/movie/adult/aarm352/aarm352pl.jpg,https://onejav.com/torrent/aarm352/download/74068034/onejav.com_aarm352.torrent,"Blow, Breasts, Cowgirl, Huge Butt, Sweat","Yui Hatano, 小野坂ゆいか",2026-06-04,https://onejav.com/torrent/aarm352
HBAD734,お隣に住む美人でエロボディのお姉さんがノーパンノーブラで誘惑してくる 小野坂ゆいか,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/1hbad734/1hbad734pl.jpg,https://onejav.com/torrent/hbad734/download/57689903/onejav.com_hbad734.torrent,Solowork,小野坂ゆいか,2026-06-04,https://onejav.com/torrent/hbad734
MKMP725,他人の男を奪いたくて仕方がないヤリマン姉が妹の彼氏をデカ尻誘惑…卑猥なピストンでマン汁まみれになったチ〇ポを躊躇なくフェラしながら濃厚ザーメンを何度も搾り取る禁断の逆NTR 小野坂ゆいか,7.1 GB,https://pics.dmm.co.jp/mono/movie/adult/mkmp725/mkmp725pl.jpg,https://onejav.com/torrent/mkmp725/download/24121441/onejav.com_mkmp725.torrent,"Butt, Creampie, Cuckold, Huge Butt, Slut, Solowork",小野坂ゆいか,2026-05-23,https://onejav.com/torrent/mkmp725
MILK291,ホスト狂いのシンママは奴●気質の貢ぐちゃん。ドMご奉仕勘違い女。 小野坂ゆいか,5.8 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1240milk291/h_1240milk291pl.jpg,https://onejav.com/torrent/milk291/download/98021816/onejav.com_milk291.torrent,"Big Tits, Creampie, Cum, Deep Throating, Married Woman, POV, Solowork",小野坂ゆいか,2026-05-21,https://onejav.com/torrent/milk291
IENF445,経験豊富な優しい素人人妻が最高の童貞筆おろし 25,6.8 GB,https://pics.dmm.co.jp/mono/movie/adult/1ienf445/1ienf445pl.jpg,https://onejav.com/torrent/ienf445/download/48655918/onejav.com_ienf445.torrent,"Big Tits, Creampie, Married Woman, Nampa, Virgin Man","小野坂ゆいか, 小鈴みかん, 黒島玲衣",2026-05-18,https://onejav.com/torrent/ienf445
MXGS1431,夢？現実？仮想空間？ AIでエロ動画を生成していたら、画面から飛び出してエロいプレイと中出しSEXまでできちゃった！ 小野坂ゆいか,4.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_068mxgs1431/h_068mxgs1431pl.jpg,https://onejav.com/torrent/mxgs1431/download/54228348/onejav.com_mxgs1431.torrent,"AV女優, SF, Solowork",小野坂ゆいか,2026-05-16,https://onejav.com/torrent/mxgs1431
SYKH190,ブーツの美魔女PREMIUM 着衣の流儀 ゆいかさん28歳 小野坂ゆいか,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/sykh190/sykh190pl.jpg,https://onejav.com/torrent/sykh190/download/36228097/onejav.com_sykh190.torrent,"Creampie, Erotic Wear, Footjob, Leg Fetish, Solowork",小野坂ゆいか,2026-05-16,https://onejav.com/torrent/sykh190
FSTU028,淫乱ブーツ集団交尾 美脚美女とベロキスザーメンSEX 小野坂ゆいか,5.3 GB,https://pics.dmm.co.jp/mono/movie/adult/fstu028/fstu028pl.jpg,https://onejav.com/torrent/fstu028/download/01665798/onejav.com_fstu028.torrent,"Kiss, Leg Fetish, Orgy, Other Fetish, Solowork",小野坂ゆいか,2026-05-16,https://onejav.com/torrent/fstu028
MADV632,アナタに魅せたい肉尻痴女 シコってヌケる！貴方に魅せるスケベ淫語と肉感尻Body 小野坂ゆいか,5.6 GB,https://pics.dmm.co.jp/mono/movie/adult/madv632/madv632pl.jpg,https://onejav.com/torrent/madv632/download/63243973/onejav.com_madv632.torrent,"Big Tits, Blow, Butt, Catgirl, Creampie, Dirty Words, Lotion, Masturbation, Slut, Solowork, Titty Fuck",小野坂ゆいか,2026-05-09,https://onejav.com/torrent/madv632
DVAJ742,「ウチは風俗じゃないんですけどぉ笑」健全サウナなのに股間キワキワ指這わせ紙パンはみ出し勃起をニヤニヤ見つめる小悪魔アカスリ嬢の汗だくルーインドデトックス23発 小野坂ゆいか,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/dvaj742/dvaj742pl.jpg,https://onejav.com/torrent/dvaj742/download/58824613/onejav.com_dvaj742.torrent,"Bath, Beauty Shop, Big Tits, Cowgirl, Creampie, Handjob, Massage, Slut, Solowork, Various Professions",小野坂ゆいか,2026-05-09,https://onejav.com/torrent/dvaj742
