code,title,size,image_url,torrent_url,tags,actresses,date,page_url
ABF360,河合あすなの異常な愛情,4.4 GB,https://image.mgstage.com/images/prestige/abf/360/pb_e_abf-360.jpg,https://onejav.com/torrent/abf360/download/11168941/onejav.com_abf360.torrent,"Big Tits, Cosplay, Facials, Solowork, Titty Fuck",Asuna Kawai,2026-06-18,https://onejav.com/torrent/abf360
ABF351,新人女子アナ 『性』いっぱい頑張りますっ…！！ 河合あすな,4.6 GB,https://image.mgstage.com/images/prestige/abf/351/pb_e_abf-351.jpg,https://onejav.com/torrent/abf351/download/99972265/onejav.com_abf351.torrent,"Anchorwoman, Big Tits, Facials, Solowork, Titty Fuck",Asuna Kawai,2026-06-04,https://onejav.com/torrent/abf351
ABF341,甘サドちくびッ痴 河合あすな,5.0 GB,https://image.mgstage.com/images/prestige/abf/341/pb_e_abf-341.jpg,https://onejav.com/torrent/abf341/download/32269406/onejav.com_abf341.torrent,"Big Tits, Lotion, Slut, Solowork, Titty Fuck",Asuna Kawai,2026-04-16,https://onejav.com/torrent/abf341
ABF331,平日女教師、週末オナホ。 河合あすな【限定特典映像15分付き】,5.5 GB,https://image.mgstage.com/images/prestige/abf/331/pb_e_abf-331.jpg,https://onejav.com/torrent/abf331/download/66453032/onejav.com_abf331.torrent,"Big Tits, Cosplay, Creampie, Female Teacher, Solowork, Titty Fuck",Asuna Kawai,2026-03-19,https://onejav.com/torrent/abf331
ABF321,クレーム謝罪ハラスメント 河合あすな【限定特典映像30分付き】,6.4 GB,https://image.mgstage.com/images/prestige/abf/321/pb_e_abf-321.jpg,https://onejav.com/torrent/abf321/download/67059014/onejav.com_abf321.torrent,"Big Tits, Facials, OL, Solowork, Titty Fuck",Asuna Kawai,2026-02-19,https://onejav.com/torrent/abf321
ABF310,憧れの女上司と急遽、出張が決まり僕のミスでまさかの相部屋に… 河合あすな【限定特典映像40分付き】,5.4 GB,https://image.mgstage.com/images/prestige/abf/310/pb_e_abf-310.jpg,https://onejav.com/torrent/abf310/download/52344937/onejav.com_abf310.torrent,"Big Tits, Facials, OL, Slut, Solowork",Asuna Kawai,2026-01-15,https://onejav.com/torrent/abf310
ABF299,絶対的不倫シチュエーション 河合あすな【限定特典映像30分付き】,5.7 GB,https://image.mgstage.com/images/prestige/abf/299/pb_e_abf-299.jpg,https://onejav.com/torrent/abf299/download/08898811/onejav.com_abf299.torrent,"Affair, Big Tits, Cosplay, Facials, Slut, Solowork",Asuna Kawai,2025-12-18,https://onejav.com/torrent/abf299
REBD984,Asuna8 Secret Lounge・河合あすな,3.0 GB,https://pics.dmm.co.jp/mono/movie/adult/h_346rebd984/h_346rebd984pl.jpg,https://onejav.com/torrent/rebd984/download/17009871/onejav.com_rebd984.torrent,"AV女優, Big Tits, Image Video, Sexy, Solowork",Asuna Kawai,2025-11-20,https://onejav.com/torrent/rebd984
ABF288,理不尽インモラルNTR 河合あすな【限定特典映像30分付き】,5.2 GB,https://image.mgstage.com/images/prestige/abf/288/pb_e_abf-288.jpg,https://onejav.com/torrent/abf288/download/80720985/onejav.com_abf288.torrent,"Big Tits, Cosplay, Facials, Solowork",Asuna Kawai,2025-11-20,https://onejav.com/torrent/abf288
ABF278,絶対忠実秘書 河合あすな【限定特典映像20分付き】,5.7 GB,https://image.mgstage.com/images/prestige/abf/278/pb_e_abf-278.jpg,https://onejav.com/torrent/abf278/download/69734060/onejav.com_abf278.torrent,"Big Tits, Cosplay, Creampie, Solowork, Titty Fuck",Asuna Kawai,2025-10-16,https://onejav.com/torrent/abf278
